Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
91,Office Products,school supplies,1,B000VXO4L2,"Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 30 Count",2,0.0603,0.1416
92,Office Products,school supplies,1,B07MVMD87P,45 Piece School Supply Kit Grades K-12 - School Essentials Includes Folders Notebooks Pencils Pens and Much More!,3,0.0554,0.0359
93,Gourmet,tastykakes,1,B007U10AQG,Tastykake Peanut Butter Kandy Kakes - 24 CT,1,0.2222,0
94,Gourmet,tastykakes,1,B09PCBM6TQ,"Tastykake Butterscotch Krimpets Tastykakes by Tastykake (2 Boxes), 12 Count (Pack of 2)",2,0.1667,0
95,Gourmet,tastykakes,1,B07QWF1T1X,"Tastykake Cupkakes in Your Choice of Four Varieties Family Size 12 Pack- A Philadelphia Baking Institution (Iced Buttercreme, 4 Pack)",3,0.1111,0
96,Launchpad,fire cider,1,B09GKWRRGK,"Amazon Exclusive. Shire City Herbals, Fire Cider Tonic, 16 oz plastic bottle, African Bronze, 32 Shots, Apple Cider Vinegar, Whole, Raw, Organic, Not Pasteurized, Not Diluted, Paleo, Keto, Whole 30",1,0.4681,1
97,Launchpad,fire cider,1,B01D51PHSK,"Shire City Herbals, Fire Cider Tonic, 8 oz, Honey-Free flavor, 16 Daily Shots, Apple Cider Vinegar, Whole, Raw, Organic, Not Heat Processed, Not Pasteurized, Not Diluted, Paleo, Keto, Whole 30.",2,0.2158,0
98,Launchpad,fire cider,1,B07PK6CTB5,"Shire City Herbals, Fire Cider, 1 oz Super Shots(12-pack), Wildflower Honey flavor, Apple Cider Vinegar Tonic, Whole, Raw, Organic, Not Pasteurized, Not Diluted, Paleo, Keto, Whole 30.",3,0.0699,0
99,Software,microsoft office,1,B08L3GC72Y,"OfficeSuite Home & Business 2021 | Lifetime License | Compatible with Word®, Excel®, PowerPoint® & PDF for Windows",1,0.1895,0.0974
100,Software,microsoft office,1,B09H7GPR1G,Microsoft Office Home & Student 2021 | One-time purchase for 1 PC or Mac| Download,2,0.1284,0.2561
101,Software,microsoft office,1,B07H5C1X31,"Microsoft 365 Business Standard | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download",3,0.1068,0.0857
102,Warehouse Deals,pets,1,B08WH8BY8Y,"IRIS USA 3-Piece Airtight Pet Food Storage Container Combo with Scoop and Treat Box for Pet, Dog, Cat, and Bird Food, Black",1,0.0355,0.0421
103,Warehouse Deals,pets,1,B09CT6VPQ3,"Topmart High Density Foam Dog Steps 4 Tiers,Extra Wide Deep Pet Steps,Non-Slip Pet Stairs,Dog Ramp for Bed,Soft Foam Dog Ladder,Best for Older Dogs Injured,Older Pets,Cats with Joint Pain",2,0.0307,0.028
